order_id,product_id,product_name,category,brand,launch_year
11092023-ELEC-001,PRDELEC001,Bluetooth Speaker,ELECTRONICS,Samsung,2021
24032023-OFFC-111,PRDOFFC111,Sweater,FAHION,Uniqlo,2021
19082023-FASH-002,PRDFASH002,Dining Table,HOME,HomeTown,2023
10072023-KITC-112,PRDKITC112,Sugar Pack,GROCERIES,Nestle,2024
07032023-HOME-003,PRDHOME003,Puzzle Game,TOYS,Hasbro,2023
12032023-GARD-113,PRDGARD113,Skipping Rope,SPORTS,Nike,2022
13122023-GROC-004,PRDGROC004,Fantasy Novel,BOOKS,Random House,2023
01092024-PETS-114,PRDPETS114,Lipstick,BEAUTY,Maybelline,2023
22012023-TOYS-005,PRDTOYS005,Wiper Blades,AUTOMOBILE,Castrol,2023
11032023-MOBL-115,PRDMOBL115,Bandage Pack,MEDICINE,Abbott,2023
25082024-SPORT-006,PRDSPORT006,Pen Set,OFFICE,Staples,2024
22112024-COMP-116,PRDCOMP116,Frying Pan,KITCHEN,Tefal,2024
21072024-BOOK-007,PRDBOOK007,Garden Hose,GARD,Gardena,2021
29082023-GAME-117,PRDGAME117,Cat Litter,PETS,Purina,2022
24082023-BEAU-008,PRDBEAU008,Screen Protector,MOBILE,Anker,2023
18022024-MUSC-118,PRDMUSC118,Graphics Card,COMPUTER,Lenovo,2021
25082024-AUTO-009,PRDAUTO009,Gaming Console,GAME,Sony,2021
03052023-JEWL-119,PRDJEWL119,Drum Set,MUSIC,Fender,2021
14082023-MEDI-010,PRDMEDI010,Charm Pendant,JEWELARY,Pandora,2024
06082024-BABY-120,PRDBABY120,Baby Walker,BABY,Pampers,2023
08012023-OFFC-011,PRDOFFC011,Microwave Oven,ELECTRONICS,Panasonic,2023
10092023-ELEC-121,PRDELEC121,Skirt,FAHION,Uniqlo,2022
14032023-KITC-012,PRDKITC012,Sofa,HOME,Ashley,2023
15082024-FASH-122,PRDFASH122,Sugar Pack,GROCERIES,Britannia,2023
25122024-GARD-013,PRDGARD013,Toy Car,TOYS,Hot Wheels,2021
31082024-HOME-123,PRDHOME123,Basketball,SPORTS,Reebok,2022
08102024-PETS-014,PRDPETS014,Cookbook,BOOKS,Random House,2023
10022023-GROC-124,PRDGROC124,Perfume,BEAUTY,Dove,2024
02032023-MOBL-015,PRDMOBL015,Car Vacuum,AUTOMOBILE,Shell,2023
26092024-TOYS-125,PRDTOYS125,Digital Thermometer,MEDICINE,Dr Reddy,2021
23082023-COMP-016,PRDCOMP016,Notebook Pack,OFFICE,Parker,2024
25032023-SPORT-126,PRDSPORT126,Toaster,KITCHEN,Philips,2021
11032023-GAME-017,PRDGAME017,Watering Can,GARD,Greenworks,2023
05032024-BOOK-127,PRDBOOK127,Pet Carrier,PETS,Pedigree,2024
02022023-MUSC-018,PRDMUSC018,Earbuds,MOBILE,Apple,2022
04112024-BEAU-128,PRDBEAU128,External Hard Drive,COMPUTER,Lenovo,2022
05122023-JEWL-019,PRDJEWL019,Game Disc,GAME,Nintendo,2024
20082024-AUTO-129,PRDAUTO129,Studio Headphones,MUSIC,Casio,2024
14032023-BABY-020,PRDBABY020,Silver Earrings,JEWELARY,Tanishq,2021
01082024-MEDI-130,PRDMEDI130,Baby Blanket,BABY,Huggies,2024
10062024-ELEC-021,PRDELEC021,Air Conditioner,ELECTRONICS,Panasonic,2021
19062024-OFFC-131,PRDOFFC131,Kurti,FAHION,Uniqlo,2023
01092023-FASH-022,PRDFASH022,Storage Cabinet,HOME,IKEA,2021
20112023-KITC-132,PRDKITC132,Sugar Pack,GROCERIES,Nestle,2024
13102023-HOME-023,PRDHOME023,Toy Train,TOYS,Lego,2024
25092023-GARD-133,PRDGARD133,Gym Gloves,SPORTS,Nike,2023
16112024-GROC-024,PRDGROC024,Science Book,BOOKS,Penguin,2024
29072023-PETS-134,PRDPETS134,Body Lotion,BEAUTY,Nivea,2024
12052024-TOYS-025,PRDTOYS025,Seat Cover,AUTOMOBILE,Castrol,2022
16112024-MOBL-135,PRDMOBL135,Vitamin Tablets,MEDICINE,Pfizer,2022
08082023-SPORT-026,PRDSPORT026,Office Chair,OFFICE,HP,2023
18112023-COMP-136,PRDCOMP136,Cutting Board,KITCHEN,Butterfly,2021
06072024-BOOK-027,PRDBOOK027,Lawn Mower,GARD,Scotts,2022
02092023-GAME-137,PRDGAME137,Cat Toy,PETS,Drools,2021
16052023-BEAU-028,PRDBEAU028,Bluetooth Earphones,MOBILE,Belkin,2024
29092023-MUSC-138,PRDMUSC138,Computer Monitor,COMPUTER,HP,2022
07082024-AUTO-029,PRDAUTO029,Racing Wheel,GAME,Microsoft,2023
10022024-JEWL-139,PRDJEWL139,Microphone,MUSIC,Yamaha,2023
13082024-MEDI-030,PRDMEDI030,Silver Earrings,JEWELARY,Kalyan,2023
15052023-BABY-140,PRDBABY140,Baby Toys Set,BABY,Chicco,2022
29042024-OFFC-031,PRDOFFC031,LED TV,ELECTRONICS,Whirlpool,2021
18112024-ELEC-141,PRDELEC141,Kurti,FAHION,Zara,2024
06092023-KITC-032,PRDKITC032,Wall Clock,HOME,Ashley,2021
22102024-FASH-142,PRDFASH142,Coffee Pack,GROCERIES,Kelloggs,2021
29042024-GARD-033,PRDGARD033,Puzzle Game,TOYS,Lego,2024
04112023-HOME-143,PRDHOME143,Basketball,SPORTS,Adidas,2024
21022024-PETS-034,PRDPETS034,Cookbook,BOOKS,McGrawHill,2022
13042024-GROC-144,PRDGROC144,Face Cream,BEAUTY,Maybelline,2022
14072023-MOBL-035,PRDMOBL035,Air Freshener,AUTOMOBILE,Bosch,2022
20112023-TOYS-145,PRDTOYS145,Medical Mask,MEDICINE,Cipla,2022
07042023-COMP-036,PRDCOMP036,Notebook Pack,OFFICE,Staples,2022
16032023-SPORT-146,PRDSPORT146,Cookware Set,KITCHEN,Tefal,2024
10042023-GAME-037,PRDGAME037,Lawn Mower,GARD,Gardena,2021
10012023-BOOK-147,PRDBOOK147,Pet Carrier,PETS,Whiskas,2022
05112024-MUSC-038,PRDMUSC038,Phone Stand,MOBILE,Apple,2022
14042024-BEAU-148,PRDBEAU148,Mechanical Keyboard,COMPUTER,Dell,2021
17032024-JEWL-039,PRDJEWL039,Gaming Headset,GAME,Logitech,2022
28092024-AUTO-149,PRDAUTO149,DJ Mixer,MUSIC,Ibanez,2021
29122023-BABY-040,PRDBABY040,Anklet,JEWELARY,Kalyan,2021
30072024-MEDI-150,PRDMEDI150,Baby Diapers,BABY,Johnson & Johnson,2024
09032024-ELEC-041,PRDELEC041,Smartphone,ELECTRONICS,Sony,2023
13042023-OFFC-151,PRDOFFC151,T‑Shirt,FAHION,Levis,2024
25022024-FASH-042,PRDFASH042,Carpet,HOME,Wayfair,2023
17032023-KITC-152,PRDKITC152,Coffee Pack,GROCERIES,Nestle,2023
23042024-HOME-043,PRDHOME043,RC Helicopter,TOYS,Mattel,2023
04072024-GARD-153,PRDGARD153,Badminton Set,SPORTS,Adidas,2022
25022023-GROC-044,PRDGROC044,Mystery Novel,BOOKS,Random House,2024
07082023-PETS-154,PRDPETS154,Makeup Kit,BEAUTY,Loreal,2023
20112024-TOYS-045,PRDTOYS045,Air Freshener,AUTOMOBILE,3M,2021
02062024-MOBL-155,PRDMOBL155,Glucose Meter,MEDICINE,Dr Reddy,2022
31102024-SPORT-046,PRDSPORT046,Desk Lamp,OFFICE,Staples,2024
29092023-COMP-156,PRDCOMP156,Juicer,KITCHEN,Tefal,2023
23102024-BOOK-047,PRDBOOK047,Plant Seeds,GARD,Greenworks,2021
16052023-GAME-157,PRDGAME157,Pet Bowl,PETS,Pedigree,2024
11042023-BEAU-048,PRDBEAU048,USB Cable,MOBILE,Belkin,2024
24122023-MUSC-158,PRDMUSC158,Gaming Laptop,COMPUTER,Asus,2022
04032023-AUTO-049,PRDAUTO049,VR Headset,GAME,Razer,2024
12032023-JEWL-159,PRDJEWL159,Keyboard Piano,MUSIC,Fender,2022
17022024-MEDI-050,PRDMEDI050,Gold Necklace,JEWELARY,Malabar,2023
08092023-BABY-160,PRDBABY160,Baby Blanket,BABY,Huggies,2022
14122023-OFFC-051,PRDOFFC051,Smart Watch,ELECTRONICS,Sony,2021
14012024-ELEC-161,PRDELEC161,Jeans,FAHION,H&M,2022
22042023-KITC-052,PRDKITC052,Sofa,HOME,Urban Ladder,2021
19102023-FASH-162,PRDFASH162,Breakfast Cereal,GROCERIES,Tata,2022
12092023-GARD-053,PRDGARD053,Stuffed Bear,TOYS,Lego,2024
11062023-HOME-163,PRDHOME163,Basketball,SPORTS,Reebok,2023
16072023-PETS-054,PRDPETS054,Mystery Novel,BOOKS,McGrawHill,2021
24032024-GROC-164,PRDGROC164,Lipstick,BEAUTY,Dove,2022
14072023-MOBL-055,PRDMOBL055,Seat Cover,AUTOMOBILE,3M,2022
10072024-TOYS-165,PRDTOYS165,Hand Sanitizer,MEDICINE,Abbott,2022
03072024-COMP-056,PRDCOMP056,Whiteboard,OFFICE,Parker,2024
21122024-SPORT-166,PRDSPORT166,Juicer,KITCHEN,Tefal,2024
04042024-GAME-057,PRDGAME057,Compost Bin,GARD,Black+Decker,2021
06112023-BOOK-167,PRDBOOK167,Fish Tank,PETS,Royal Canin,2021
24052023-MUSC-058,PRDMUSC058,Earbuds,MOBILE,Xiaomi,2024
18092024-BEAU-168,PRDBEAU168,Wireless Mouse,COMPUTER,Asus,2021
08032024-JEWL-059,PRDJEWL059,Game Controller,GAME,Logitech,2023
31102024-AUTO-169,PRDAUTO169,Saxophone,MUSIC,Roland,2023
07072023-BABY-060,PRDBABY060,Gold Necklace,JEWELARY,Cartier,2024
25062024-MEDI-170,PRDMEDI170,Baby Blanket,BABY,Chicco,2021
13102023-ELEC-061,PRDELEC061,Bluetooth Speaker,ELECTRONICS,Sony,2022
09012023-OFFC-171,PRDOFFC171,Sweater,FAHION,Uniqlo,2023
18042024-FASH-062,PRDFASH062,Bookshelf,HOME,HomeTown,2024
14112024-KITC-172,PRDKITC172,Rice Pack,GROCERIES,Kelloggs,2021
13092023-HOME-063,PRDHOME063,Stuffed Bear,TOYS,Lego,2024
21072024-GARD-173,PRDGARD173,Tennis Racket,SPORTS,Nike,2022
19032023-GROC-064,PRDGROC064,Travel Guide,BOOKS,McGrawHill,2023
03112023-PETS-174,PRDPETS174,Sunscreen,BEAUTY,Loreal,2024
29032024-TOYS-065,PRDTOYS065,Car Battery,AUTOMOBILE,3M,2024
10112024-MOBL-175,PRDMOBL175,Hand Sanitizer,MEDICINE,Pfizer,2024
17072024-SPORT-066,PRDSPORT066,Desk Lamp,OFFICE,Faber Castell,2022
17042023-COMP-176,PRDCOMP176,Juicer,KITCHEN,Tefal,2024
11042023-BOOK-067,PRDBOOK067,Garden Hose,GARD,Bosch,2022
18052023-GAME-177,PRDGAME177,Bird Cage,PETS,Pedigree,2022
21022023-BEAU-068,PRDBEAU068,Screen Protector,MOBILE,Apple,2022
28092023-MUSC-178,PRDMUSC178,Cooling Pad,COMPUTER,Dell,2023
29102024-AUTO-069,PRDAUTO069,Portable Console,GAME,Sony,2023
29042023-JEWL-179,PRDJEWL179,Drum Set,MUSIC,Yamaha,2024
07072024-MEDI-070,PRDMEDI070,Gold Necklace,JEWELARY,Kalyan,2024
20042023-BABY-180,PRDBABY180,Baby Toys Set,BABY,Johnson & Johnson,2023
16012023-OFFC-071,PRDOFFC071,Washing Machine,ELECTRONICS,Sony,2021
20072024-ELEC-181,PRDELEC181,Kurti,FAHION,H&M,2023
06042023-KITC-072,PRDKITC072,Carpet,HOME,Urban Ladder,2022
09062023-FASH-182,PRDFASH182,Green Tea,GROCERIES,Amul,2023
31082023-GARD-073,PRDGARD073,RC Helicopter,TOYS,Mattel,2022
06102023-HOME-183,PRDHOME183,Cricket Bat,SPORTS,Under Armour,2024
20062023-PETS-074,PRDPETS074,Art Book,BOOKS,McGrawHill,2021
16102023-GROC-184,PRDGROC184,Hair Dryer,BEAUTY,Nivea,2024
21022024-MOBL-075,PRDMOBL075,Dash Camera,AUTOMOBILE,Michelin,2022
11092024-TOYS-185,PRDTOYS185,Glucose Meter,MEDICINE,Pfizer,2022
12052024-COMP-076,PRDCOMP076,Desk Organizer,OFFICE,Staples,2022
04082023-SPORT-186,PRDSPORT186,Electric Kettle,KITCHEN,Philips,2021
07052024-GAME-077,PRDGAME077,Lawn Mower,GARD,Scotts,2023
18122023-BOOK-187,PRDBOOK187,Cat Toy,PETS,Whiskas,2024
07082023-MUSC-078,PRDMUSC078,Wireless Charger,MOBILE,Samsung,2024
28072023-BEAU-188,PRDBEAU188,Wireless Mouse,COMPUTER,Dell,2023
15022024-JEWL-079,PRDJEWL079,Game Controller,GAME,Logitech,2024
04122024-AUTO-189,PRDAUTO189,Acoustic Guitar,MUSIC,Fender,2021
02032023-BABY-080,PRDBABY080,Charm Pendant,JEWELARY,Kalyan,2024
11102024-MEDI-190,PRDMEDI190,Baby Monitor,BABY,Pampers,2022
18062023-ELEC-081,PRDELEC081,Air Conditioner,ELECTRONICS,Samsung,2023
28092023-OFFC-191,PRDOFFC191,Jacket,FAHION,Zara,2021
24012024-FASH-082,PRDFASH082,Floor Lamp,HOME,Ashley,2023
01062024-KITC-192,PRDKITC192,Chocolate Box,GROCERIES,Tata,2021
03012023-HOME-083,PRDHOME083,Doll,TOYS,Lego,2022
15052024-GARD-193,PRDGARD193,Football,SPORTS,Nike,2023
04022024-GROC-084,PRDGROC084,Travel Guide,BOOKS,Penguin,2024
15092023-PETS-194,PRDPETS194,Shampoo,BEAUTY,Loreal,2021
29092023-TOYS-085,PRDTOYS085,Wiper Blades,AUTOMOBILE,Castrol,2023
22022023-MOBL-195,PRDMOBL195,Digital Thermometer,MEDICINE,Sun Pharma,2024
10042024-SPORT-086,PRDSPORT086,Whiteboard,OFFICE,Camlin,2023
05042023-COMP-196,PRDCOMP196,Frying Pan,KITCHEN,Prestige,2023
20102023-BOOK-087,PRDBOOK087,Lawn Mower,GARD,Greenworks,2023
11102024-GAME-197,PRDGAME197,Bird Cage,PETS,Pedigree,2021
09032024-BEAU-088,PRDBEAU088,Fast Charger,MOBILE,Anker,2024
09032024-MUSC-198,PRDMUSC198,Mechanical Keyboard,COMPUTER,Dell,2022
14122024-AUTO-089,PRDAUTO089,VR Headset,GAME,Logitech,2021
11102023-JEWL-199,PRDJEWL199,Keyboard Piano,MUSIC,Casio,2021
23072024-MEDI-090,PRDMEDI090,Nose Ring,JEWELARY,Kalyan,2021
15022023-BABY-200,PRDBABY200,Baby Lotion,BABY,Pampers,2022
08112024-OFFC-091,PRDOFFC091,Smartphone,ELECTRONICS,Sony,2024
04012023-ELEC-201,PRDELEC201,Jeans,FAHION,Levis,2024
13052024-KITC-092,PRDKITC092,Bookshelf,HOME,HomeTown,2024
08122023-FASH-202,PRDFASH202,Breakfast Cereal,GROCERIES,Tata,2023
08062023-GARD-093,PRDGARD093,Toy Car,TOYS,Hot Wheels,2023
14052023-HOME-203,PRDHOME203,Tennis Racket,SPORTS,Adidas,2023
14072023-PETS-094,PRDPETS094,Self Help Book,BOOKS,Oxford,2022
14102024-GROC-204,PRDGROC204,Shampoo,BEAUTY,Lakme,2023
31102023-MOBL-095,PRDMOBL095,Car Polish,AUTOMOBILE,Michelin,2022
26092023-TOYS-205,PRDTOYS205,Digital Thermometer,MEDICINE,Dr Reddy,2024
11082023-COMP-096,PRDCOMP096,Paper Ream,OFFICE,Faber Castell,2023
15062023-SPORT-206,PRDSPORT206,Knife Set,KITCHEN,Butterfly,2023
01032023-GAME-097,PRDGAME097,Lawn Mower,GARD,Scotts,2021
28032024-BOOK-207,PRDBOOK207,Pet Carrier,PETS,Purina,2022
16082024-MUSC-098,PRDMUSC098,Earbuds,MOBILE,Samsung,2024
18072024-BEAU-208,PRDBEAU208,USB Hub,COMPUTER,Acer,2021
09072024-JEWL-099,PRDJEWL099,Game Disc,GAME,Sony,2021
23122024-AUTO-209,PRDAUTO209,Keyboard Piano,MUSIC,Yamaha,2024
04032023-BABY-100,PRDBABY100,Gold Necklace,JEWELARY,Malabar,2021
13032024-MEDI-210,PRDMEDI210,Baby Monitor,BABY,Pampers,2022
18112023-ELEC-101,PRDELEC101,Bluetooth Speaker,ELECTRONICS,Whirlpool,2022
28072024-OFFC-211,PRDOFFC211,Shorts,FAHION,Zara,2023
28022023-FASH-102,PRDFASH102,Wardrobe,HOME,HomeTown,2021
10012023-KITC-212,PRDKITC212,Rice Pack,GROCERIES,Nestle,2023
21022023-HOME-103,PRDHOME103,Stuffed Bear,TOYS,Funskool,2021
25042023-GARD-213,PRDGARD213,Badminton Set,SPORTS,Nike,2022
21082024-GROC-104,PRDGROC104,Cookbook,BOOKS,Random House,2022
19032023-PETS-214,PRDPETS214,Shampoo,BEAUTY,Nivea,2022
03052024-TOYS-105,PRDTOYS105,Car Charger,AUTOMOBILE,Castrol,2021
08122024-MOBL-215,PRDMOBL215,Pain Relief Spray,MEDICINE,Abbott,2022
29052024-SPORT-106,PRDSPORT106,Whiteboard,OFFICE,HP,2021
02062023-COMP-216,PRDCOMP216,Frying Pan,KITCHEN,Butterfly,2023
27062024-BOOK-107,PRDBOOK107,Compost Bin,GARD,Bosch,2021
12072024-GAME-217,PRDGAME217,Pet Carrier,PETS,Drools,2023
11062023-BEAU-108,PRDBEAU108,Bluetooth Earphones,MOBILE,Samsung,2021
06022023-MUSC-218,PRDMUSC218,Webcam,COMPUTER,Acer,2023
28022023-AUTO-109,PRDAUTO109,Arcade Stick,GAME,Logitech,2022
14012024-JEWL-219,PRDJEWL219,Acoustic Guitar,MUSIC,Fender,2023
04062024-MEDI-110,PRDMEDI110,Gold Necklace,JEWELARY,Kalyan,2022
19082024-BABY-220,PRDBABY220,Baby Diapers,BABY,Chicco,2022
